image_id,image_path,caption,clipscore_simplificado
wg_27_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00055.jpg,the person with the ponytail buys stuff and other packs it,0.2290909
wg_1_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00002.jpg,the taller person hugs the shorter person,0.22986211
wg_38_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00077.jpg,the sad person is on the right and the happy person is on the left,0.23644006
wg_1_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00003.jpg,the shorter person hugs the taller person,0.23728621
wg_23_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00047.jpg,the person in the middle is standing and some others are floating,0.23728691
wg_46_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00093.jpg,a person is drinking later and eating now,0.23737615
wg_32_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00064.jpg,astronauts in blue suits with a red planet in the background,0.23760702
wg_45_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00091.jpg,a hot drink on a cold day,0.23788735
wg_38_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00076.jpg,the happy person is on the right and the sad person is on the left,0.23812346
wg_6_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00012.jpg,"a plant was harmed by another organism, and that organism broke the plant into pieces",0.24043338
wg_27_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00054.jpg,the person with the ponytail packs stuff and other buys it,0.24156098
wg_3_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00007.jpg,an animal watches a person,0.24283324
wg_35_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00070.jpg,a circular sign is above a rectangular sign,0.24553682
wg_33_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00067.jpg,the round table has a square base,0.24621394
wg_44_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00089.jpg,the light oncoming traffic is contrasted with the heavy outgoing traffic,0.24725136
wg_18_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00036.jpg,there is less orange juice than milk,0.24980594
wg_23_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00046.jpg,the person in the middle is floating and some others are standing,0.25087237
wg_44_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00088.jpg,the heavy oncoming traffic is contrasted with the light outgoing traffic,0.2522209
wg_9_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00019.jpg,the leaves fall on people,0.2522556
wg_10_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00020.jpg,the sail rests below the water,0.25269207
wg_25_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00050.jpg,the person with the white collared shirt waters the plant while the other holds it,0.25335845
wg_26_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00052.jpg,the taller person chops food and the shorter person eats food,0.2554236
wg_26_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00053.jpg,the taller person eats food and the shorter person chops food,0.2585441
wg_49_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00098.jpg,it wears a hat but the person doesn't,0.26013148
wg_34_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00068.jpg,pointy bushes are behind rectangular bushes,0.2609941
wg_37_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00075.jpg,smooth shoes are on a soft floor,0.261417
wg_11_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00023.jpg,there is someone below a table,0.2621141
wg_45_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00090.jpg,a cold drink on a hot day,0.26247963
wg_7_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00014.jpg,a bottle is in water,0.26311913
wg_10_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00021.jpg,the water rests below the sail,0.26579458
wg_25_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00051.jpg,the person with the white collared shirt holds the plant while the other waters it,0.26651838
wg_36_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00073.jpg,a metal chess piece rests on wood objects,0.26773444
wg_48_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00097.jpg,the passenger is riding attentive to the road and the driver is driving inattentive to the road,0.26897144
wg_29_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00058.jpg,a brown dog is on a white couch,0.26913804
wg_21_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00043.jpg,a person stands and a dog sits,0.27281994
wg_31_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00062.jpg,The red book is above the yellow book and below the blue book,0.27288786
wg_12_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00025.jpg,the image shows books on top of a computer,0.27410418
wg_43_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00086.jpg,a big cat is next to a small dog,0.27412865
wg_13_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00026.jpg,a caterpillar with some plants,0.2745283
wg_8_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00017.jpg,a car smashed into a tree,0.27547345
wg_2_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00005.jpg,the unmasked wrestler hits the masked wrestler,0.27789384
wg_6_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00013.jpg,"another organism was harmed by a plant, and that plant broke the organism into pieces",0.27799723
wg_29_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00059.jpg,a white dog is on a brown couch,0.27876058
wg_15_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00031.jpg,there are more snowboarders than skiers,0.28116444
wg_48_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00096.jpg,the passenger is riding inattentive to the road and the driver is driving attentive to the road,0.28155148
wg_22_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00045.jpg,The person with more facial hair sleeps while the other lies awake,0.28237352
wg_5_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00011.jpg,a snake eats a bird,0.2823785
wg_15_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00030.jpg,there are more skiers than snowboarders,0.28242466
wg_42_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00084.jpg,the larger person wears yellow and the smaller person does not,0.2840805
wg_14_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00028.jpg,there is a mug in some grass,0.28430218
wg_36_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00072.jpg,a wood chess piece rests on metal objects,0.28482845
wg_12_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00024.jpg,the image shows a computer on top of books,0.28554112
wg_40_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00081.jpg,the less content person has the healthier food and the more content person has the less healthy food,0.2867722
wg_34_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00069.jpg,rectangular bushes are behind pointy bushes,0.2878809
wg_13_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00027.jpg,a plant with some caterpillars,0.28867215
wg_40_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00080.jpg,the more content person has the healthier food and the less content person has the less healthy food,0.2887036
wg_20_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00040.jpg,there is a bit less milk chocolate than white chocolate,0.29125163
wg_31_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00063.jpg,The yellow book is above the blue book and below the red book,0.2913752
wg_33_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00066.jpg,the square table has a round base,0.29155746
wg_20_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00041.jpg,there is a bit less white chocolate than milk chocolate,0.2922507
wg_7_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00015.jpg,water is in a bottle,0.29254743
wg_19_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00038.jpg,there is more dirt than empty space in the jar,0.29578984
wg_0_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00000.jpg,an old person kisses a young person,0.29878828
wg_5_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00010.jpg,a bird eats a snake,0.29881245
wg_0_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00001.jpg,a young person kisses an old person,0.3001448
wg_30_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00061.jpg,a red bird is next to a blue berry,0.30030462
wg_8_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00016.jpg,a tree smashed into a car,0.30101478
wg_17_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00034.jpg,there are more ladybugs than flowers,0.30187488
wg_9_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00018.jpg,people fall on the leaves,0.30238786
wg_14_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00029.jpg,there is some grass in a mug,0.3063084
wg_16_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00033.jpg,there are fewer spoons than forks,0.30800268
wg_22_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00044.jpg,The person with more facial hair lies awake while the other sleeps,0.3085093
wg_47_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00095.jpg,the sailboat sails far away but the beach is close,0.30915275
wg_43_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00087.jpg,a small cat is next to a big dog,0.3097109
wg_16_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00032.jpg,there are fewer forks than spoons,0.31010464
wg_17_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00035.jpg,there are more flowers than ladybugs,0.31019422
wg_41_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00083.jpg,the orange lollipop is surprised and the red lollipop is sad,0.3106852
wg_19_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00039.jpg,there is more empty space than dirt in the jar,0.3106995
wg_28_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00056.jpg,a person walking in a field of yellow flowers with a red dress,0.31143203
wg_32_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00065.jpg,astronauts in red suits with a blue planet in the background,0.31899282
wg_2_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00004.jpg,the masked wrestler hits the unmasked wrestler,0.32401356
wg_28_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00057.jpg,a person walking in a field of red flowers with a yellow dress,0.33063948
wg_41_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00082.jpg,the orange lollipop is sad and the red lollipop is surprised,0.3311
wg_30_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00060.jpg,a blue bird is next to a red berry,0.33119825
