image_id,image_path,caption,clipscore_simplificado,categoria_error,severidad_1_a_5,evidencia_visual,comentario_tecnico
wg_18_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00037.jpg,there is less milk than orange juice,0.22249238,conteo,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «conteo»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.222). El caption exige comparar cantidades; CLIP no cuenta, sólo detecta presencia global."
wg_37_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00074.jpg,soft shoes are on a smooth floor,0.22253065,relación espacial,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.223). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_47_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00094.jpg,the sailboat sails close but the beach is far away,0.22265962,relación espacial,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.223). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_46_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00092.jpg,a person is drinking now and eating later,0.22629471,otro,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «otro»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.226). Relación temporal (ahora/después) no observable en una imagen estática.
wg_24_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00049.jpg,the person closer to the camera runs and the person farther from the camera weightlifts,0.2263113,relación espacial,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.226). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_42_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00085.jpg,the smaller person wears yellow and the larger person does not,0.2272481,otro,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «otro»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.227). Negación/ausencia: CLIP tiende a puntuar por presencia de conceptos, no por su negación."
wg_5_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00010.jpg,a bird eats a snake,0.29881245,acción,2,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «acción»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.299). Rol agente/paciente (quién hace qué a quién); el dual-encoder no modela la estructura predicado-argumento.
wg_17_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00035.jpg,there are more flowers than ladybugs,0.31019422,conteo,2,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «conteo»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.310). El caption exige comparar cantidades; CLIP no cuenta, sólo detecta presencia global."
wg_42_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00084.jpg,the larger person wears yellow and the smaller person does not,0.2840805,otro,3,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «otro»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.284). Negación/ausencia: CLIP tiende a puntuar por presencia de conceptos, no por su negación."
wg_16_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00032.jpg,there are fewer forks than spoons,0.31010464,conteo,2,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «conteo»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.310). El caption exige comparar cantidades; CLIP no cuenta, sólo detecta presencia global."
wg_43_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00087.jpg,a small cat is next to a big dog,0.3097109,relación espacial,2,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.310). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_15_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00030.jpg,there are more skiers than snowboarders,0.28242466,otro,3,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «otro»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.282). Relación temporal (ahora/después) no observable en una imagen estática.
wg_25_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00051.jpg,the person with the white collared shirt holds the plant while the other waters it,0.26651838,atributo,3,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «atributo»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.267). Binding de atributo a la entidad correcta (color/tamaño/textura); el bag-of-concepts de CLIP mezcla los atributos.
wg_37_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00075.jpg,smooth shoes are on a soft floor,0.261417,relación espacial,3,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.261). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_38_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00076.jpg,the happy person is on the right and the sad person is on the left,0.23812346,relación espacial,4,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.238). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_8_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00016.jpg,a tree smashed into a car,0.30101478,acción,2,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «acción»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.301). Rol agente/paciente (quién hace qué a quién); el dual-encoder no modela la estructura predicado-argumento.
wg_34_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00069.jpg,rectangular bushes are behind pointy bushes,0.2878809,relación espacial,3,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «relación espacial»; ambas obtienen similitud casi idéntica con el caption.,"CLIPScore diagonal bajo (0.288). El par mínimo intercambia posiciones/orden; CLIP codifica qué objetos hay, no su disposición."
wg_28_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00056.jpg,a person walking in a field of yellow flowers with a red dress,0.31143203,atributo,2,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «atributo»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.311). Atributo específico ligado a una entidad; binding débil en el encoder de texto/imagen.
wg_28_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00057.jpg,a person walking in a field of red flowers with a yellow dress,0.33063948,atributo,2,Par mínimo Winoground: la imagen correcta y su contraparte difieren sólo en «atributo»; ambas obtienen similitud casi idéntica con el caption.,CLIPScore diagonal bajo (0.331). Atributo específico ligado a una entidad; binding débil en el encoder de texto/imagen.
